%----------------------------------------------
% Training file for the TLP problem
%
% @author: TLPGen (a test data generation tool)
%----------------------------------------------

@RELATION tlp

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE y1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE y2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE y3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE y4 NUMERIC
@ATTRIBUTE class {1, 2, 3, 4}

@DATA
844,436,1415,541,844,541,1415,436,1
617,577,725,577,725,604,617,604,1
221,436,437,436,221,1315,437,1315,1
1177,944,257,944,257,175,1177,175,3
1236,1255,442,1255,442,959,1236,959,3
371,1413,90,1413,371,695,90,695,4
551,171,551,953,689,171,689,953,1
324,949,324,148,182,148,182,949,3
1346,446,864,446,864,130,1346,130,3
189,306,525,306,525,595,189,595,1
1405,1211,1405,320,978,1211,978,320,4
812,232,155,579,155,232,812,579,3
407,173,801,807,407,807,801,173,1
1334,1465,449,1465,449,817,1334,817,3
828,320,828,152,1095,152,1095,320,2
667,755,667,571,723,571,723,755,2
888,835,1243,835,888,177,1243,177,3
570,937,358,1106,358,937,570,1106,3
581,1404,1305,1404,581,984,1305,984,3
312,349,1282,349,312,690,1282,690,1
429,52,429,731,809,731,809,52,1
283,1447,882,1447,882,444,283,444,4
799,574,799,653,488,574,488,653,3
46,691,46,1059,456,1059,456,691,1
666,824,1223,719,666,719,1223,824,3
500,1333,56,1333,500,632,56,632,4
1009,1123,1009,167,458,167,458,1123,3
860,622,3,211,860,211,3,622,2
647,634,1458,634,647,311,1458,311,3
1744,893,857,893,1744,618,857,618,4
1331,833,327,686,1331,686,327,833,2
299,1395,1111,1395,1111,730,299,730,4
374,600,196,1453,196,600,374,1453,3
646,21,646,887,925,21,925,887,1
978,1388,890,809,890,1388,978,809,2
702,675,853,675,702,312,853,312,3
688,945,1115,1839,1115,945,688,1839,1
809,1724,1407,906,809,906,1407,1724,3
1362,708,1362,1527,567,1527,567,708,4
812,992,366,1422,812,1422,366,992,4
51,224,547,325,547,224,51,325,1
67,726,483,726,67,488,483,488,3
735,1159,673,1159,673,557,735,557,3
628,406,487,621,628,621,487,406,4
407,200,407,668,520,668,520,200,1
1832,844,1832,1219,946,1219,946,844,4
430,1446,430,981,774,981,774,1446,2
508,577,508,934,671,577,671,934,1
733,556,1273,706,733,706,1273,556,1
1395,574,1395,1416,534,1416,534,574,4
806,960,1312,960,1312,714,806,714,4
744,377,290,377,744,217,290,217,4
129,234,189,234,189,459,129,459,1
920,1362,920,566,900,1362,900,566,4
615,941,1441,941,615,1373,1441,1373,1
470,553,406,495,406,553,470,495,2
917,798,859,448,917,448,859,798,2
802,383,177,383,802,822,177,822,2
147,1258,991,486,991,1258,147,486,4
343,667,138,1574,138,667,343,1574,3
1732,100,1732,195,874,195,874,100,4
1277,50,934,172,934,50,1277,172,3
855,925,88,1522,855,1522,88,925,4
1439,945,1439,1341,895,945,895,1341,3
1716,341,774,330,774,341,1716,330,2
1556,1007,682,1007,682,380,1556,380,3
569,1517,849,1517,569,850,849,850,3
1199,823,244,823,1199,322,244,322,4
880,1225,1754,560,880,560,1754,1225,3
129,281,25,999,129,999,25,281,4
797,861,1213,861,1213,1237,797,1237,1
1172,1205,191,408,1172,408,191,1205,2
868,748,350,748,350,1341,868,1341,2
255,874,255,1165,511,874,511,1165,1
521,331,521,3,549,3,549,331,2
1701,804,1701,1285,928,804,928,1285,3
999,362,1251,362,1251,3,999,3,4
115,1208,647,827,115,827,647,1208,3
916,813,209,905,916,905,209,813,4
681,1814,1480,1814,1480,843,681,843,4
564,1212,564,639,969,639,969,1212,2
97,1315,656,740,656,1315,97,740,4
621,384,923,192,923,384,621,192,4
173,704,552,704,552,920,173,920,1
1212,888,898,888,898,416,1212,416,3
402,1550,1406,689,1406,1550,402,689,4
1414,1297,700,614,1414,614,700,1297,2
515,985,1349,1036,1349,985,515,1036,1
1717,56,940,905,1717,905,940,56,4
625,1470,232,1470,232,474,625,474,3
1264,920,648,920,648,1279,1264,1279,2
637,659,397,933,397,659,637,933,3
953,599,38,1587,953,1587,38,599,4
480,447,1313,447,480,521,1313,521,1
391,1734,391,935,141,1734,141,935,4
968,1712,968,860,445,860,445,1712,3
516,1065,516,149,1290,1065,1290,149,2
1172,693,756,1292,1172,1292,756,693,4
766,1056,766,787,832,1056,832,787,2
830,846,281,934,281,846,830,934,3
578,603,578,499,968,499,968,603,2
100,166,346,385,100,385,346,166,1
221,1407,56,1407,221,575,56,575,4
788,642,1279,211,788,211,1279,642,3
764,776,1195,424,764,424,1195,776,3
1073,683,923,683,923,649,1073,649,3
1124,723,731,1520,1124,1520,731,723,4
13,102,417,102,417,913,13,913,1
456,248,371,745,371,248,456,745,3
1279,353,948,353,1279,586,948,586,2
522,804,522,189,1364,189,1364,804,2
926,106,563,1044,563,106,926,1044,3
1539,326,1539,580,873,326,873,580,3
1225,1840,951,931,951,1840,1225,931,2
723,921,639,398,639,921,723,398,2
724,474,204,474,724,603,204,603,2
279,666,279,689,140,689,140,666,4
974,1101,919,1101,974,221,919,221,4
1042,247,437,333,437,247,1042,333,3
1655,576,938,576,938,1080,1655,1080,2
357,136,334,136,357,620,334,620,2
794,632,1605,1355,1605,632,794,1355,1
71,861,5,861,5,1313,71,1313,2
927,1431,927,673,458,673,458,1431,3
3,439,870,439,870,1138,3,1138,1
729,365,729,1251,1446,365,1446,1251,1
1737,707,850,707,850,924,1737,924,2
381,1138,911,289,381,289,911,1138,3
1109,202,916,484,1109,484,916,202,4
1056,571,1056,262,569,262,569,571,3
454,584,328,44,328,584,454,44,2
774,1046,24,1046,774,279,24,279,4
883,1754,1782,944,1782,1754,883,944,4
536,1184,141,1184,536,464,141,464,4
410,398,410,1146,604,1146,604,398,1
620,931,251,931,251,646,620,646,3
1190,63,846,802,1190,802,846,63,4
859,647,1822,647,859,657,1822,657,1
1271,553,1271,866,541,866,541,553,4
124,1621,99,1621,124,909,99,909,4
1205,529,833,570,1205,570,833,529,4
1956,271,1956,444,952,271,952,444,3
1265,1276,381,991,381,1276,1265,991,2
1182,202,200,863,200,202,1182,863,3
713,632,20,632,713,417,20,417,4
899,1299,899,446,539,446,539,1299,3
988,1727,1520,1727,1520,996,988,996,4
884,1140,1821,1140,1821,694,884,694,4
516,591,361,591,361,1334,516,1334,2
1196,578,307,786,1196,786,307,578,4
1207,278,445,278,1207,1073,445,1073,2
1479,531,614,23,614,531,1479,23,2
1703,724,967,724,967,34,1703,34,3
754,52,689,52,689,1058,754,1058,2
956,516,6,1330,956,1330,6,516,4
879,716,421,716,421,319,879,319,3
61,828,594,828,61,438,594,438,3
988,1327,153,474,988,474,153,1327,2
905,167,905,692,509,167,509,692,3
805,1335,182,370,182,1335,805,370,2
974,1525,385,717,385,1525,974,717,2
980,705,980,849,1228,705,1228,849,1
1235,871,1235,647,705,871,705,647,4
203,936,203,1683,318,1683,318,936,1
349,1524,1098,780,349,780,1098,1524,3
653,1770,725,774,725,1770,653,774,4
821,67,821,792,10,792,10,67,4
959,580,959,1378,233,1378,233,580,4
1108,540,1108,1426,175,1426,175,540,4
1025,1166,169,1166,169,333,1025,333,3
290,1222,1285,912,1285,1222,290,912,4
398,1452,1058,459,1058,1452,398,459,4
260,632,920,632,920,187,260,187,4
399,1518,1387,939,399,939,1387,1518,3
351,437,84,437,351,1174,84,1174,2
1086,821,1086,380,681,380,681,821,3
231,115,780,115,231,616,780,616,1
1038,610,1038,114,734,114,734,610,3
30,450,543,575,30,575,543,450,1
468,354,468,635,237,635,237,354,4
1404,718,925,718,1404,884,925,884,2
489,549,489,1134,1129,1134,1129,549,1
421,197,899,197,421,658,899,658,1
887,435,1657,921,1657,435,887,921,1
875,303,875,1114,1039,303,1039,1114,1
207,394,526,336,207,336,526,394,3
901,215,901,899,1596,215,1596,899,1
764,842,818,181,764,181,818,842,3
1347,1486,1347,842,758,842,758,1486,3
1273,149,1273,61,519,61,519,149,3
1043,696,282,1241,1043,1241,282,696,4
1374,646,677,1449,1374,1449,677,646,4
1084,591,797,1156,1084,1156,797,591,4
931,294,931,1106,1565,1106,1565,294,1
752,126,770,522,752,522,770,126,1
580,899,87,1025,580,1025,87,899,4
78,605,794,1490,78,1490,794,605,1
1965,1468,983,1468,1965,544,983,544,4
1153,669,1153,976,193,669,193,976,3
1938,421,1938,841,971,841,971,421,4
922,667,1367,667,1367,677,922,677,1
174,829,842,996,842,829,174,996,1
361,578,211,1344,211,578,361,1344,3
748,400,748,1129,847,1129,847,400,1
198,191,198,321,215,321,215,191,1
1194,936,836,936,1194,956,836,956,2
139,340,739,1053,739,340,139,1053,1
1394,450,519,173,519,450,1394,173,2
928,1011,99,704,99,1011,928,704,2
1360,925,459,925,459,620,1360,620,3
1509,1126,675,1126,1509,950,675,950,4
561,145,604,145,604,587,561,587,1
996,910,597,204,597,910,996,204,2
508,386,634,386,508,1363,634,1363,1
549,950,268,1903,549,1903,268,950,4
1236,624,543,624,543,510,1236,510,3
678,1251,678,966,1276,966,1276,1251,2
814,1543,814,890,782,1543,782,890,4
988,849,1575,849,1575,1115,988,1115,1
426,944,426,1901,404,944,404,1901,3
813,115,1763,115,1763,969,813,969,1
1760,311,955,311,955,211,1760,211,3
787,659,787,739,82,739,82,659,4
12,121,251,547,251,121,12,547,1
223,1039,999,641,223,641,999,1039,3
190,1096,552,1096,552,588,190,588,4
583,669,252,1014,583,1014,252,669,4
635,641,189,852,635,852,189,641,4
873,375,873,259,531,375,531,259,4
747,719,747,509,10,719,10,509,4
600,1145,1248,930,600,930,1248,1145,3
280,680,939,1159,280,1159,939,680,1
787,783,787,103,1436,783,1436,103,2
615,773,895,773,615,1408,895,1408,1
322,1123,322,428,84,1123,84,428,4
806,530,662,530,806,1482,662,1482,2
235,605,235,221,678,605,678,221,2
868,1059,868,395,38,395,38,1059,3
804,440,804,1338,1271,1338,1271,440,1
1109,1509,932,1509,932,905,1109,905,3
998,680,998,85,1308,85,1308,680,2
996,540,982,158,982,540,996,158,2
391,268,75,268,391,509,75,509,2
281,1024,281,801,688,801,688,1024,2
142,218,142,720,849,720,849,218,1
360,83,360,740,313,83,313,740,3
148,571,204,1156,148,1156,204,571,1
251,819,890,1362,251,1362,890,819,1
679,295,679,478,1595,478,1595,295,1
168,1444,273,1444,168,953,273,953,3
630,878,630,1666,1139,878,1139,1666,1
992,601,992,1207,1513,1207,1513,601,1
983,602,394,519,983,519,394,602,2
679,1650,679,793,953,1650,953,793,2
